2025-08-14 17:29:06 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-19 12:05:19 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-19 12:05:24 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-19 12:05:26 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-19 15:31:18 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-19 15:31:21 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-19 15:31:22 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-19 17:16:07 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-19 17:16:11 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-19 17:16:13 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-19 17:16:16 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-19 17:16:19 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-19 17:16:21 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-19 17:16:23 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-19 17:16:33 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-19 17:16:41 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-19 17:18:59 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-19 17:19:04 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-19 17:19:05 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-19 17:19:10 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-19 17:19:13 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-19 17:19:18 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-19 17:19:20 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-19 17:19:24 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-19 17:19:28 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-19 17:19:34 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-19 17:19:36 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-22 14:47:35 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-22 14:47:37 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-22 14:47:40 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-22 14:47:42 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-22 15:05:34 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-22 15:05:36 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-22 15:05:45 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-22 15:05:46 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-22 15:05:51 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-22 15:05:52 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-22 15:23:36 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-22 15:23:38 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-22 15:43:15 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-22 15:43:17 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-22 16:12:08 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-22 16:12:10 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 13:58:52 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 13:59:02 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 13:59:07 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 13:59:11 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 13:59:26 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 13:59:54 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 13:59:57 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 13:59:58 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 14:13:14 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 14:13:16 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 14:58:49 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 14:58:52 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 14:59:00 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 15:04:09 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 15:04:13 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 15:04:23 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 15:05:41 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 15:06:11 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 15:06:13 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 15:06:49 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 15:06:51 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 15:10:44 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 15:11:43 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 15:29:16 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 15:29:20 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 15:29:23 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 15:29:25 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 15:29:26 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 15:42:42 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 15:42:44 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 15:42:46 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 15:42:49 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 15:42:51 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 15:44:00 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 15:44:02 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 15:44:05 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 15:44:09 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 15:44:19 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 15:44:23 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 15:44:23 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 15:54:52 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 16:56:58 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 16:57:01 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 16:57:02 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 16:57:04 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 16:57:05 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 16:57:07 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 16:57:07 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 16:57:08 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 16:57:09 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 16:57:10 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 16:57:11 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 16:57:11 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 16:57:13 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 16:57:13 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 16:57:14 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 16:57:15 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 16:59:32 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 16:59:33 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 16:59:34 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 16:59:35 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 16:59:37 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 16:59:37 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 16:59:38 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 16:59:39 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 16:59:40 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 16:59:40 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 16:59:42 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 16:59:44 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 16:59:45 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 16:59:47 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 16:59:48 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:00:58 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:00:58 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:00:59 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:01:00 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:01:01 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:01:01 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:01:03 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:01:04 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:01:05 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 17:03:03 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:03:04 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:03:05 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:03:06 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:03:07 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:03:07 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:03:08 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 17:03:09 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:03:11 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:03:11 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:03:12 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:03:12 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:03:13 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:03:13 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 17:05:35 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:05:37 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:05:39 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:05:41 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:05:41 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:05:42 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:05:43 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 17:05:44 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:05:45 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:05:46 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:05:47 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:05:48 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:05:48 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 17:06:30 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:06:31 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:06:31 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:06:32 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:06:32 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:06:33 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 17:18:50 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:18:52 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:18:52 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:18:53 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:21:57 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:21:59 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:22:01 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:22:17 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:22:20 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:22:21 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:22:22 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:22:23 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:22:26 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:22:28 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:22:29 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 17:22:31 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:30:46 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 17:31:03 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:31:12 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:31:13 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:48:40 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:48:42 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:48:43 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:48:44 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:48:45 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:48:45 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:48:46 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-23 17:48:47 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:48:47 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-23 17:49:21 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:49:22 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:49:24 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:49:25 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:49:27 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:49:29 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-23 17:49:30 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-23 17:49:33 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-23 17:49:35 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-23 17:49:37 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-23 17:49:38 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-25 11:35:47 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-25 11:35:52 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-25 11:35:53 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-25 11:35:55 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-25 11:35:56 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-25 11:37:27 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-25 11:37:29 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-25 11:37:31 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-25 11:46:09 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-25 12:16:09 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-25 12:16:12 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-25 12:16:14 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-25 12:16:16 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-25 12:16:17 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-25 12:16:19 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-09-25 12:16:20 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-25 12:16:21 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-09-25 12:16:23 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-09-25 12:20:46 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-25 12:20:55 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-25 12:21:01 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-25 12:23:54 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-25 12:23:57 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-25 12:23:57 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-25 12:24:04 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-25 12:24:08 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-25 12:24:08 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-25 12:24:10 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-25 12:24:12 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-25 12:24:13 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-25 12:24:14 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-25 16:19:00 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-09-26 16:16:34 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-26 16:16:44 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-09-26 16:16:45 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-09-26 16:16:48 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-09-26 16:16:49 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
